date,close,open,high,low,diff
08-07-15,187.56,187.26,188.77,186.83,0.09%
08-06-15,187.39,188.86,189.13,187.1,-0.88%
08-05-15,189.05,188.09,189.56,187.93,0.39%
08-04-15,188.32,188.38,188.86,186.63,-0.14%
08-03-15,188.58,187.79,188.72,187.07,0.37%
07-31-15,187.88,188.73,189.14,186.2,-0.56%
07-30-15,188.93,186.99,189.31,186.94,0.95%
07-29-15,187.16,186.71,187.2,185.96,0.14%
07-28-15,186.89,187.83,188.67,186.58,-0.60%
07-27-15,188.02,188.38,189.18,187.35,-0.24%
07-24-15,188.47,186.98,189.25,186.63,0.70%
07-23-15,187.16,186.15,187.95,186.1,0.45%
07-22-15,186.33,184.85,186.61,184.81,0.71%
07-21-15,185.01,186.1,186.92,184.72,-0.68%
07-20-15,186.27,185.05,186.66,184.99,0.56%
07-17-15,185.23,184.52,185.41,184.31,0.29%
07-16-15,184.69,184.61,185.41,183.91,-0.06%
07-15-15,184.81,183.9,185.09,183.37,0.37%
07-14-15,184.12,182.91,184.42,182.75,0.57%
07-13-15,183.07,182.12,183.18,181.53,0.49%
07-10-15,182.18,182.17,182.63,181.25,-0.10%
07-09-15,182.36,182.85,183.76,181.77,-0.28%
07-08-15,182.88,182.57,183.57,182.18,0.08%
07-07-15,182.74,181.25,183.23,181.14,0.76%
07-06-15,181.36,180.64,181.92,180.63,0.25%
07-03-15,180.9,180.9,181.37,179.94,-0.09%
07-02-15,181.07,181.26,181.64,180.19,-0.20%
07-01-15,181.44,180.33,181.73,179.73,0.45%
06-30-15,180.62,180.23,180.7,179.53,0.11%
06-29-15,180.42,180.67,181.75,179.96,-0.24%
06-26-15,180.86,178.89,181.43,178.71,0.99%
06-25-15,179.08,178.57,179.32,178.29,0.12%
06-24-15,178.86,178.04,179.25,177.85,0.31%
06-23-15,178.31,177.19,178.72,177.07,0.53%
06-22-15,177.37,177.42,177.92,176.67,-0.16%
06-19-15,177.66,177.98,178.57,177.12,-0.24%
06-18-15,178.09,179.17,179.53,177.24,-0.83%
06-17-15,179.58,180.02,181.12,178.93,-0.34%
06-16-15,180.19,179.65,180.51,179.51,0.19%
06-15-15,179.84,178.93,180.36,178.93,0.39%
06-12-15,179.14,179.23,180.13,178.55,-0.14%
06-11-15,179.39,178.81,179.85,177.99,0.22%
06-10-15,179,180.52,180.97,178.38,-0.95%
06-09-15,180.71,180.13,181,179.93,0.23%
06-08-15,180.3,181.15,181.42,179.95,-0.54%
06-05-15,181.28,179.42,181.32,178.74,0.94%
06-04-15,179.59,178.51,179.75,178.42,0.50%
06-03-15,178.69,178.53,179.22,177.96,0.00%
06-02-15,178.69,179.85,180.31,178.42,-0.76%
06-01-15,180.05,179.45,180.23,178.98,0.27%
05-29-15,179.57,178.59,179.99,178.31,0.44%
05-28-15,178.78,178.72,179.3,177.96,-0.07%
05-27-15,178.91,178.39,179.34,177.87,0.18%
05-26-15,178.58,176.69,178.66,176.58,0.97%
05-25-15,176.87,176.93,177.23,176.6,-0.05%
05-22-15,176.96,176.24,176.97,175.57,0.30%
05-21-15,176.43,176.53,177,176.07,-0.16%
05-20-15,176.72,176.32,177.17,176.11,0.13%
05-19-15,176.49,175.59,176.61,175.23,0.42%
05-18-15,175.75,174.49,175.91,174.41,0.65%
05-15-15,174.62,175.46,176.72,174.39,-0.52%
05-14-15,175.54,175.99,177.01,175.34,-0.35%
05-13-15,176.16,175.9,177.42,175.37,0.05%
05-12-15,176.08,176.5,176.93,175.74,-0.35%
05-11-15,176.69,175.09,176.81,174.51,0.84%
05-08-15,175.22,176.11,176.45,174.87,-0.60%
05-07-15,176.27,174.05,176.78,173.8,1.17%
05-06-15,174.24,174.08,174.75,173.66,0.00%
05-05-15,174.24,174.06,174.77,173.88,0.00%
05-04-15,174.24,174.13,174.64,173.62,-0.05%
05-01-15,174.33,173.49,174.61,173.28,0.37%
04-30-15,173.69,172.42,173.93,172.03,0.60%
04-29-15,172.65,171.39,173.17,171.33,0.64%
04-28-15,171.56,171.72,172.84,171.28,-0.19%
04-27-15,171.89,173.81,174.04,171.62,-1.10%
04-24-15,173.8,174.26,174.65,173.41,-0.37%
04-23-15,174.44,174.83,175.3,174.04,-0.33%
04-22-15,175.01,174.53,175.13,173.54,0.20%
04-21-15,174.66,174.52,175.24,174.23,-0.02%
04-20-15,174.69,174.59,175.02,173.55,-0.10%
04-17-15,174.87,174.83,175.66,173.9,-0.08%
04-16-15,175.01,175.84,176.68,174.37,-0.59%
04-15-15,176.04,175.65,177.12,175.61,0.13%
04-14-15,175.81,177,177.36,175.5,-0.78%
04-13-15,177.2,176.08,177.56,175.86,0.57%
04-10-15,176.2,176.56,176.94,175.73,-0.31%
04-09-15,176.74,176.04,176.88,175.47,0.31%
04-08-15,176.2,176.64,177.04,175.43,-0.35%
04-07-15,176.81,175.14,176.88,175.1,0.82%
04-06-15,175.37,175.15,175.98,174.8,-0.03%
04-03-15,175.43,175.92,177.23,174.86,-0.38%
04-02-15,176.1,177,177.71,175.62,-0.62%
04-01-15,177.19,178.71,178.98,176.76,-0.94%
03-31-15,178.88,178.06,179.5,177.99,0.25%
03-30-15,178.43,177.5,178.56,177.31,0.47%
03-27-15,177.59,177.75,178.26,177.19,-0.19%
03-26-15,177.93,177.2,178.48,176.95,0.31%
03-25-15,177.38,177.76,178.37,176.79,-0.28%
03-24-15,177.87,177.91,178.69,177.22,-0.13%
03-23-15,178.11,179.24,180.5,177.72,-0.74%
03-20-15,179.44,180.92,181.88,178.94,-0.91%
03-19-15,181.09,178.31,181.47,178.11,1.48%
03-18-15,178.45,180.5,181.56,178.22,-1.25%
03-17-15,180.7,180.54,181.19,179.92,-0.03%
03-16-15,180.75,181.67,181.96,180.08,-0.59%
03-13-15,181.82,179.61,181.97,178.98,1.15%
03-12-15,179.75,180.59,181.53,178.54,-0.57%
03-11-15,180.78,179.88,180.97,179.31,0.41%
03-10-15,180.04,177.84,180.04,177.83,1.15%
03-09-15,178,177.3,178.33,176.72,0.35%
03-06-15,177.38,175.75,177.71,175.05,0.82%
03-05-15,175.93,175.49,176.08,175.15,0.15%
03-04-15,175.67,174.65,175.83,174.33,0.49%
03-03-15,174.81,175.68,176.17,174.38,-0.60%
03-02-15,175.86,175.61,176.54,175.21,0.11%
02-27-15,175.66,176,176.19,174.91,-0.30%
02-26-15,176.18,175.68,176.26,174.6,0.19%
02-25-15,175.85,176.61,176.92,175.16,-0.53%
02-24-15,176.79,177.03,178.5,176.54,-0.23%
02-23-15,177.2,177.11,177.82,176.91,-0.20%
02-20-15,177.55,177.57,177.92,177.24,-0.11%
02-19-15,177.75,177.06,178.05,177,0.29%
02-18-15,177.24,177.1,178.25,176.95,-0.02%
02-17-15,177.27,176.16,177.32,175.38,0.54%
02-16-15,176.32,175.73,176.75,175.15,0.22%
02-13-15,175.94,176.23,176.5,175.37,-0.27%
02-12-15,176.41,177.35,178.12,176.22,-0.63%
02-11-15,177.52,175.97,177.83,175.41,0.78%
02-10-15,176.14,175.16,176.38,174.16,0.47%
02-09-15,175.32,175.63,176.23,175.01,-0.30%
02-06-15,175.85,173.61,175.95,173.42,1.19%
02-05-15,173.79,173.98,174.82,173.47,-0.21%
02-04-15,174.16,174.49,175.05,173.35,-0.29%
