date,close,open,high,low,diff
03-25-16,150.695,150.43,151.365,150.02,0.05%
03-24-16,150.615,150.54,151.025,149.89,-0.08%
03-23-16,150.73,149.12,150.82,148.88,0.98%
03-22-16,149.26,149.61,150.38,148.54,-0.35%
03-21-16,149.79,149.97,150.9,149.11,-0.21%
03-18-16,150.11,148.74,150.15,148.62,0.79%
03-17-16,148.93,151.77,152.13,148.36,-1.99%
03-16-16,151.96,153.78,154.25,151.51,-1.30%
03-15-16,153.965,153.06,154.385,152.67,0.47%
03-14-16,153.25,152.94,153.68,152.39,0.10%
03-11-16,153.09,155.22,156,152.5,-1.46%
03-10-16,155.36,155.54,156.42,154.18,-0.23%
03-09-16,155.725,155.68,156.875,155.24,-0.06%
03-08-16,155.815,154.35,155.845,154.33,0.82%
03-07-16,154.545,154.24,155.555,154.02,0.11%
03-04-16,154.375,155.89,156.205,153.79,-1.06%
03-03-16,156.03,157.43,157.94,155.44,-1.01%
03-02-16,157.62,158,159.14,157.38,-0.36%
03-01-16,158.185,159.08,159.395,157.7,-0.65%
02-29-16,159.215,159.9,160.275,158.75,-0.42%
02-26-16,159.885,158.73,160.265,158.29,0.61%
02-25-16,158.915,158.53,160.125,158.41,0.15%
02-24-16,158.67,158.47,159.81,158.31,0.04%
02-23-16,158.605,157.37,158.845,157.16,0.70%
02-22-16,157.505,158.6,159.315,157.08,-0.77%
02-19-16,158.72,157.75,159.46,157.71,0.50%
02-18-16,157.935,157.05,158.765,156.81,0.45%
02-17-16,157.235,156.31,158.185,156.12,0.51%
02-16-16,156.44,155.86,156.98,155.45,0.25%
02-15-16,156.05,154.92,156.05,154.78,0.71%
02-12-16,154.95,153.97,155.7,153.74,0.54%
02-11-16,154.115,152.38,154.935,152.34,1.01%
02-10-16,152.57,153.56,154.21,152.24,-0.75%
02-09-16,153.73,154.29,155.17,153.34,-0.49%
02-08-16,154.48,154.65,155.57,154.26,-0.25%
02-05-16,154.87,152.83,154.94,152.58,1.21%
02-04-16,153.02,153.93,154.93,151.66,-0.68%
02-03-16,154.07,155.32,156.76,153.7,-0.90%
02-02-16,155.465,154.52,155.955,153.86,0.52%
02-01-16,154.655,155.14,155.655,154.03,-0.40%
01-29-16,155.275,154.81,155.915,153.67,0.21%
01-28-16,154.955,154.92,155.555,154.05,-0.07%
01-27-16,155.06,153.6,155.15,153.56,0.87%
01-26-16,153.73,153.77,154.78,153.51,-0.12%
01-25-16,153.91,153.43,154.31,152.92,0.23%
01-22-16,153.555,153.95,154.615,153.29,-0.26%
01-21-16,153.95,154.52,155.37,153.79,-0.46%
01-20-16,154.665,154.28,155.745,154.24,0.16%
01-19-16,154.42,155.24,155.5,153.83,-0.60%
01-18-16,155.35,155.74,156.18,154.8,-0.34%
01-15-16,155.885,155.04,156.685,154.95,0.45%
01-14-16,155.19,155.78,156.58,155.02,-0.47%
01-13-16,155.92,155.78,156.57,154.66,0.01%
01-12-16,155.91,155.02,156.43,154.98,0.48%
01-11-16,155.17,155.41,156.06,154.82,-0.25%
01-08-16,155.555,154.18,156.455,153.59,0.80%
01-07-16,154.325,154.71,155.375,153.73,-0.34%
01-06-16,154.85,153.49,155.28,153.06,0.80%
01-05-16,153.625,153.43,153.895,152.67,0.04%
01-04-16,153.56,151.55,153.95,151.55,1.25%
01-01-16,151.665,151.6,151.805,151.5,-0.04%
12-31-15,151.73,151.78,151.95,151.39,-0.13%
12-30-15,151.92,151.01,152.15,150.72,0.50%
12-29-15,151.165,150.67,151.265,150.43,0.24%
12-28-15,150.81,150.91,151.08,149.88,-0.17%
12-25-15,151.065,150.81,151.165,150.65,0.08%
12-24-15,150.94,151.34,151.79,150.41,-0.36%
12-23-15,151.48,151.01,152.19,150.85,0.22%
12-22-15,151.15,151.36,152.15,150.71,-0.23%
