date,close,open,high,low,volume,diff
05-29-13,93.13,95.05,95.22,92.83,293.46K,-1.98%
05-28-13,95.01,93.89,95.92,93.23,240.99K,1.25%
05-27-13,93.83,93.54,94.03,93.25,-,-0.33%
05-24-13,94.15,94.37,94.39,93.04,203.99K,-0.11%
05-23-13,94.25,94.18,94.46,92.21,323.63K,-0.03%
05-22-13,94.28,95.9,96.19,94.01,336.50K,-1.96%
05-21-13,96.16,96.7,96.97,95.5,-,-0.57%
05-20-13,96.71,95.93,97.11,95.23,118.62K,0.72%
05-17-13,96.02,95.15,96.45,94.79,187.75K,0.90%
05-16-13,95.16,94.34,95.57,93.23,297.86K,0.91%
05-15-13,94.3,94.13,94.44,92.13,360.68K,0.10%
05-14-13,94.21,94.93,95.66,93.85,269.40K,-1.01%
05-13-13,95.17,95.76,95.81,94.47,297.04K,-0.91%
05-10-13,96.04,96.16,96.24,93.37,354.12K,-0.36%
05-09-13,96.39,96.6,96.77,95.35,272.20K,-0.24%
05-08-13,96.62,95.56,96.77,95.24,276.32K,1.05%
05-07-13,95.62,95.79,96.26,94.92,260.14K,-0.56%
05-06-13,96.16,95.58,97.17,94.85,271.00K,0.58%
05-03-13,95.61,93.99,96.04,93.56,297.52K,1.72%
05-02-13,93.99,91,94.25,90.65,310.81K,3.25%
05-01-13,91.03,93.08,93.26,90.11,332.38K,-2.60%
04-30-13,93.46,94.42,94.62,92.86,277.50K,-1.10%
04-29-13,94.5,92.7,94.69,92.43,214.61K,1.61%
04-26-13,93,93.24,93.58,92.06,240.97K,-0.68%
04-25-13,93.64,91.58,93.87,91.11,270.12K,2.42%
04-24-13,91.43,89.6,91.72,89.21,257.74K,2.52%
04-23-13,89.18,89.28,89.6,87.8,288.80K,0.47%
04-22-13,88.76,87.96,89.13,87.55,35.73K,0.85%
04-19-13,88.01,88.37,88.79,87.56,100.65K,0.32%
04-18-13,87.73,86.39,88.51,85.61,228.20K,1.21%
04-17-13,86.68,88.8,89.09,86.06,294.27K,-2.30%
04-16-13,88.72,87.42,88.96,86.06,287.41K,0.01%
04-15-13,88.71,90.95,90.98,87.2,362.52K,-2.83%
04-12-13,91.29,93.49,93.52,90.27,325.58K,-2.37%
04-11-13,93.51,94.56,94.64,93.06,222.44K,-1.19%
04-10-13,94.64,93.96,94.82,93.4,248.56K,0.47%
04-09-13,94.2,93.49,94.48,92.86,234.72K,0.90%
04-08-13,93.36,93.02,93.75,92.46,212.12K,0.71%
04-05-13,92.7,93.36,93.57,91.91,267.28K,-0.60%
04-04-13,93.26,94.5,94.84,92.12,355.32K,-1.26%
04-03-13,94.45,96.93,96.96,94.18,302.24K,-2.82%
04-02-13,97.19,97,97.44,95.91,209.88K,0.12%
04-01-13,97.07,97.36,97.8,95.92,192.40K,-0.16%
03-28-13,97.23,96.68,97.35,96.26,174.39K,0.67%
03-27-13,96.58,96.18,96.84,95.58,207.78K,0.25%
03-26-13,96.34,94.75,96.45,94.67,214.35K,1.61%
03-25-13,94.81,93.72,95.65,93.7,270.65K,1.17%
03-22-13,93.71,92.33,93.94,92.33,202.67K,1.36%
03-21-13,92.45,93.4,93.53,91.84,214.13K,-0.55%
